Name,Type,Breed,Color,Sex,Size,Date Of Birth,Impound Number,Kennel Number,Animal ID,Intake Date,Outcome Date,Days in Shelter,Intake Type,Intake Subtype,Outcome Type,Outcome Subtype,Intake Condition,Outcome Condition,Intake Jurisdiction,Outcome Jurisdiction,Outcome Zip Code,Location,Count
MITSI,DOG,GERM SHEPHERD,BLACK/TAN,Female,LARGE,12/15/2009,K17-026072,DS81,A362519,10/27/2017,12/16/2017,50,STRAY,FIELD,TRANSFER,G SHEP NC,UNKNOWN,PENDING,*ROHNERT PARK,OUT OF COUNTY,95015,"95015(37.319314, -122.029264)",1
PEACHES,OTHER,GUINEA PIG,BLACK,Female,SMALL,5/3/2015,K16-021449,CA01,A344760,11/3/2016,11/9/2016,6,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,INTERNET,HEALTHY,HEALTHY,WINDSOR,*HEALDSBURG,95448,"95448(38.618857, -122.861927)",1
,CAT,DOMESTIC SH,BRN TABBY/WHITE,Male,SMALL,,K17-024874,TRUCK,A356993,8/16/2017,8/16/2017,0,STRAY,FIELD,EUTHANIZE,ILL SEVERE,UNKNOWN,UNTREATABLE,COUNTY,,,,1
*PANDA,CAT,DOMESTIC SH,WHITE/BLACK,Neutered,MED,10/3/2010,K15-016242,WESTFARM,A327941,10/3/2015,11/18/2015,46,STRAY,OVER THE COUNTER,ADOPTION,WESTFARM,HEALTHY,HEALTHY,COUNTY,*PETALUMA,94954,"94954(38.245316, -122.59871)",1
*ROY,CAT,DOMESTIC LH,GRAY TABBY,Neutered,SMALL,7/17/2016,K17-024310,CA02,A354746,7/7/2017,7/28/2017,21,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,OUT OF COUNTY,95461,"95461(38.787437, -122.64395)",1
JEMMA,DOG,ROTTWEILER/MIX,BROWN,Spayed,LARGE,1/27/2016,K17-022358,TRUCK,A347759,1/27/2017,1/27/2017,0,STRAY,FIELD,RETURN TO OWNER,FLD_MCHIP,HEALTHY,HEALTHY,COUNTY,COUNTY,95441,"95441(38.729916, -122.883041)",1
GINGER,DOG,POODLE TOY,WHITE,Female,TOY,12/8/1999,K16-018927,TX,A257278,5/20/2016,5/26/2016,6,STRAY,FIELD,EUTHANIZE,ILL SEVERE,UNTREATABLE,UNTREATABLE,COUNTY,SANTA ROSA,95404,"95404(38.458384, -122.675588)",1
DAX,DOG,PIT BULL,BLUE,Neutered,LARGE,12/20/2013,K15-013968,DQ116,A321679,5/14/2015,5/28/2015,14,OWNER SURRENDER,OVER THE COUNTER,EUTHANIZE,BEH SEVERE,HEALTHY,TREATABLE/MANAGEABLE,SANTA ROSA,,,,1
HAMILTON,CAT,DOMESTIC LH,GRAY TABBY,Neutered,SMALL,,K15-014372,CA02,A322773,6/9/2015,6/11/2015,2,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_MCHIP,HEALTHY,HEALTHY,COUNTY,OUT OF COUNTY,94111,"94111(37.797956, -122.40011)",1
AXEL,DOG,DOBERMAN PINSCH,BLACK/TAN,Neutered,LARGE,11/23/2010,K14-011816,DA19,A314250,11/23/2014,1/2/2015,40,CONFISCATE,FLD_ARREST,ADOPTION,REFERRAL,TREATABLE/MANAGEABLE,TREATABLE/MANAGEABLE,SANTA ROSA,OUT OF COUNTY,94579,"94579(37.688234, -122.15302)",1
CHATO,DOG,BOXER,FAWN/WHITE,Male,LARGE,10/9/2008,K15-016325,DS58,A263652,10/8/2015,10/9/2015,1,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_MCHIP,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95401,"95401(38.446019, -122.766748)",1
MONGO,DOG,RAT TERRIER/MIX,TRICOLOR,Neutered,PUPPY,4/19/2014,K14-009885,DA16,A309238,7/19/2014,7/30/2014,11,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,WINDSOR,95492,"95492(38.541541, -122.809202)",1
BLONDIE,DOG,GOLDEN RETR,TAN,Female,LARGE,9/17/2007,K14-008880,DS83,A296979,5/17/2014,5/24/2014,7,CONFISCATE,FLD_CORONR,TRANSFER,NC GOLDRET,HEALTHY,HEALTHY,SANTA ROSA,UNKNOWN,,,1
,OTHER,BAT,BROWN,Unknown,SMALL,,K16-021982,COOLER,A346476,12/21/2016,12/21/2016,0,QUARANTINE,FLD_STRAY,EUTHANIZE,FRA,UNTREATABLE,UNTREATABLE,COUNTY,,,,1
SASSY,DOG,YORKSHIRE TERR/MIX,WHITE/BLACK,Spayed,SMALL,4/12/2010,K15-012305,TRUCK,A315469,1/3/2015,1/3/2015,0,STRAY,FIELD,RETURN TO OWNER,FLD_MCHIP,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95409,"95409(38.458965, -122.630156)",1
,OTHER,CHICKEN,BLACK/GOLD,Female,SMALL,,K17-025325,RECEIVING,A360915,9/14/2017,9/14/2017,0,STRAY,OVER THE COUNTER,EUTHANIZE,INJ SEVERE,UNTREATABLE,UNTREATABLE,COUNTY,,,,1
,CAT,DOMESTIC SH,GRAY TABBY/WHITE,Unknown,SMALL,,K17-024856,CS06,A356783,8/15/2017,8/22/2017,7,OWNER SURRENDER,FIELD,TRANSFER,FORGOTTEN,UNKNOWN,TREATABLE/MANAGEABLE,SANTA ROSA,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1
,OTHER,HORSE,BROWN/WHITE,Female,X-LRG,,K18-027637,CHANGE,A370185,3/22/2018,4/12/2018,21,CONFISCATE,FLD_CRUEL,TRANSFER,CHANGE PRG,TREATABLE/REHAB,TREATABLE/REHAB,COUNTY,COUNTY,95401,"95401(38.446019, -122.766748)",1
*ROBERT,DOG,GERM SHEPHERD,BLACK/BROWN,Neutered,LARGE,12/22/2013,K15-017219,DS58,A331304,12/22/2015,1/13/2016,22,STRAY,OVER THE COUNTER,TRANSFER,B A GERMAN,HEALTHY,HEALTHY,SANTA ROSA,OUT OF COUNTY,94947,"94947(38.098743, -122.592459)",1
PRINCESS,DOG,PIT BULL/MIX,BROWN/WHITE,Spayed,MED,8/27/2013,K17-025809,DQ108,A326100,10/14/2017,11/29/2017,46,QUARANTINE,FIELD_RETURN TO OWNER,EUTHANIZE,AGGRESSIVE,UNTREATABLE,UNTREATABLE,SANTA ROSA,SANTA ROSA,95407,"95407(38.403734, -122.736775)",1
*RUDY,DOG,PIT BULL,BR BRINDLE/WHITE,Neutered,LARGE,3/17/2014,K16-020304,DA31,A341083,8/17/2016,5/24/2017,280,STRAY,FIELD,ADOPTION,WALKIN,TREATABLE/MANAGEABLE,HEALTHY,WINDSOR,COUNTY,95409,"95409(38.458965, -122.630156)",1
SKYLER,DOG,COCKER SPAN,YELLOW,Neutered,MED,12/19/2005,K15-012404,DS88,A300768,1/12/2015,2/6/2015,25,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_PRVS,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1
,CAT,DOMESTIC MH,WHITE/BLACK,Male,SMALL,,K16-017544,SMM,A332321,1/22/2016,1/23/2016,1,STRAY,OVER THE COUNTER,EUTHANIZE,ILL SEVERE,UNTREATABLE,UNTREATABLE,WINDSOR,,,,1
PATTYCAKE,CAT,DOMESTIC MH,GRAY/WHITE,Spayed,SMALL,1/21/2012,K17-024500,CA02,A355859,7/21/2017,8/12/2017,22,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95409,"95409(38.458965, -122.630156)",1
JACK,DOG,SCHNAUZER MIN/MIX,BLACK/GRAY,Male,SMALL,1/28/2010,K15-015426,TX,A326025,8/14/2015,8/15/2015,1,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_WALKIN,TREATABLE/REHAB,TREATABLE/REHAB,SANTA ROSA,SANTA ROSA,95407,"95407(38.403734, -122.736775)",1
BELLA,DOG,PIT BULL,BR BRINDLE/WHITE,Spayed,LARGE,4/18/2010,K15-015719,DS83,A290898,9/1/2015,9/1/2015,0,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_PRVS,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95407,"95407(38.403734, -122.736775)",1
*VANNA,DOG,LABRADOR RETR/AUST CATTLE DOG,BLACK/WHITE,Spayed,MED,8/14/2015,K17-022256,DA11,A347179,1/17/2017,3/25/2017,67,STRAY,OVER THE COUNTER,ADOPTION,INTERNET,HEALTHY,HEALTHY,COUNTY,*PETALUMA,94954,"94954(38.245316, -122.59871)",1
,CAT,DOMESTIC SH,GRAY,Unknown,KITTN,,K18-027494,EUTH,A369312,3/9/2018,3/9/2018,0,STRAY,FIELD,DIED,EN ROUTE,UNKNOWN,DEAD,COUNTY,,,,1
SKY,DOG,SIBERIAN HUSKY,WHITE/GRAY,Spayed,LARGE,4/17/2014,K15-013552,DS82,A320057,4/12/2015,4/17/2015,5,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_WEB,HEALTHY,HEALTHY,SANTA ROSA,OUT OF COUNTY,94558,"94558(38.383156, -122.289164)",1
PATCHES,DOG,CHIHUAHUA SH,TRICOLOR,Neutered,TOY,,K17-025763,DS92,A226814,10/12/2017,10/13/2017,1,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_WALKIN,UNKNOWN,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1
*COURTNEY,CAT,DOMESTIC SH,GRAY TABBY,Spayed,SMALL,5/31/2015,K16-018219,CS04,A334924,3/26/2016,4/5/2016,10,STRAY,OVER THE COUNTER,ADOPTION,FINDER,HEALTHY,HEALTHY,WINDSOR,WINDSOR,95492,"95492(38.541541, -122.809202)",1
*FARRAH,DOG,PIT BULL,WHITE/TAN,Spayed,MED,9/21/2013,K14-008788,DQ108,A306441,5/10/2014,6/18/2014,39,STRAY,OVER THE COUNTER,EUTHANIZE,BEH SEVERE,TREATABLE/MANAGEABLE,TREATABLE/MANAGEABLE,COUNTY,,,,1
ZOEY,DOG,POMERANIAN/MIX,YELLOW/TAN,Spayed,TOY,6/6/2013,K16-017436,CI01,A331840,1/12/2016,4/9/2016,88,STRAY,FIELD,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,COUNTY,SANTA ROSA,95401,"95401(38.446019, -122.766748)",1
,CAT,DOMESTIC SH,BUFF,Unknown,SMALL,,K17-023230,CI02,A351343,4/22/2017,4/22/2017,0,STRAY,OVER THE COUNTER,EUTHANIZE,ILL SEVERE,UNTREATABLE,UNTREATABLE,SANTA ROSA,,,,1
*LEON,DOG,GERM SHEPHERD/MIX,BROWN/BLACK,Neutered,LARGE,1/22/2012,K14-007350,DA09,A301554,1/14/2014,1/25/2014,11,STRAY,FIELD,TRANSFER,B A GERMAN,HEALTHY,HEALTHY,*HEALDSBURG,OUT OF COUNTY,94947,"94947(38.098743, -122.592459)",1
HARLEY,DOG,LABRADOR RETR,BLACK,Neutered,LARGE,8/19/2005,K15-016427,TRUCK,A326099,10/16/2015,10/16/2015,0,STRAY,FIELD,RETURN TO OWNER,FLD_MCHIP,HEALTHY,HEALTHY,COUNTY,COUNTY,95472,"95472(38.394388, -122.850998)",1
SAMUEL,CAT,DOMESTIC MH,BLACK,Neutered,KITTN,5/3/2015,K15-014272,WESTFARM,A322621,6/3/2015,7/17/2015,44,STRAY,COMM CAT,ADOPTION,WESTFARM,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95401,"95401(38.446019, -122.766748)",1
,CAT,DOMESTIC SH,BLACK,Spayed,SMALL,,K16-018450,CS06,A335503,4/13/2016,4/19/2016,6,STRAY,COMM CAT,RETURN TO OWNER,COMMCAT,TREATABLE/MANAGEABLE,TREATABLE/MANAGEABLE,COUNTY,COUNTY,94952,"94952(38.236012, -122.730241)",1
VIOLET,CAT,DOMESTIC SH,GRAY TABBY,Female,SMALL,,K17-025970,TX,A362788,10/21/2017,10/21/2017,0,STRAY,FIELD,EUTHANIZE,INJ SEVERE,UNKNOWN,UNTREATABLE,SANTA ROSA,COUNTY,95403,"95403(38.486997, -122.749134)",1
*DEWEY,DOG,SCHNAUZER MIN/MIX,BLACK,Neutered,PUPPY,6/23/2014,K14-010915,DA45,A311938,9/23/2014,10/7/2014,14,STRAY,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95403,"95403(38.486997, -122.749134)",1
,OTHER,GOAT/ALPINE,TAN,Female,MED,,K17-026362,YARD,A362675,11/16/2017,11/25/2017,9,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_LETTER,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95407,"95407(38.403734, -122.736775)",1
SQUEAKS,DOG,CHIHUAHUA SH,TAN/BLACK,Male,TOY,12/21/2015,K16-021254,DS89,A344016,10/20/2016,10/21/2016,1,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_WEB,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95401,"95401(38.446019, -122.766748)",1
*SASSY,CAT,DOMESTIC MH,BLUE CREAM/CALICO,Spayed,KITTN,4/22/2016,K16-019395,LOBBY,A338674,6/23/2016,6/30/2016,7,STRAY,COMM CAT,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95405,"95405(38.439152, -122.672541)",1
JOJO,DOG,POODLE MIN/MIX,WHITE,Male,SMALL,,K16-021309,DS56,A344442,10/26/2016,10/27/2016,1,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_PRVS,HEALTHY,HEALTHY,SANTA ROSA,*ROHNERT PARK,94928,"94928(38.346718, -122.695947)",1
,DOG,ROTTWEILER,BLACK/TAN,Unknown,PUPPY,3/18/2018,K18-027600,CS04,A369473,3/19/2018,3/20/2018,1,STRAY,BORN_HERE,TRANSFER,DOGWOOD,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1
*CHANDLER,CAT,DOMESTIC SH,BRN TABBY,Neutered,MED,6/16/2012,K14-009156,CS04,A307642,6/5/2014,7/3/2014,28,STRAY,FIELD,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,SANTA ROSA,COUNTY,95448,"95448(38.618857, -122.861927)",1
TOBY,DOG,PUG/BEAGLE,BLACK,Neutered,SMALL,3/1/2012,K17-026785,DA11,A366426,12/23/2017,2/22/2018,61,STRAY,FIELD,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,COUNTY,COUNTY,95409,"95409(38.458965, -122.630156)",1
BELLA,CAT,HIMALAYAN/MIX,LYNX PT,Spayed,SMALL,2/27/2010,K14-007885,CS04,A303261,2/26/2014,3/5/2014,7,STRAY,COMM CAT,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1
LUCKY,DOG,DACHSHUND/CHIHUAHUA SH,BLACK,Neutered,SMALL,,K15-016869,DS72,A329795,11/21/2015,11/21/2015,0,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_PRVS,HEALTHY,HEALTHY,COUNTY,OUT OF COUNTY,95422,"95422(38.962754, -122.634743)",1
MITZI,DOG,POODLE MIN/MIX,BLACK/WHITE,Spayed,SMALL,6/1/2001,K17-024245,DA34,A082135,7/5/2017,7/5/2017,0,STRAY,OVER THE COUNTER,RETURN TO OWNER,OVER THE COUNTER_PRVS,TREATABLE/MANAGEABLE,TREATABLE/MANAGEABLE,SANTA ROSA,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1
*SASHA,CAT,SIAMESE/MIX,SEAL PT,Spayed,SMALL,4/6/2012,K16-018352,CS04,A335235,4/6/2016,4/20/2016,14,STRAY,OVER THE COUNTER,ADOPTION,INTERNET,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95407,"95407(38.403734, -122.736775)",1
,DOG,GERM SHEPHERD,BLACK,Male,MED,,K18-028098,DA29,A372096,5/2/2018,5/18/2018,16,STRAY,FIELD,EUTHANIZE,AGGRESSIVE,UNTREATABLE,UNTREATABLE,COUNTY,,,,1
OREO,CAT,DOMESTIC SH,BLACK/WHITE,Spayed,KITTN,,K16-020679,CA02,A342059,9/8/2016,9/14/2016,6,CONFISCATE,FLD_HOSPTL,RETURN TO OWNER,OVER THE COUNTER_NOTICE,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95409,"95409(38.458965, -122.630156)",1
GEORGE,CAT,DOMESTIC SH,ORG TABBY/WHITE,Male,SMALL,,K16-017317,CA02,A331508,1/2/2016,1/8/2016,6,CONFISCATE,FLD_CORONR,EUTHANIZE,AGGRESSIVE,TREATABLE/MANAGEABLE,TREATABLE/MANAGEABLE,SANTA ROSA,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1
SWISHER,DOG,PIT BULL/LABRADOR RETR,BROWN/WHITE,Neutered,MED,9/26/2014,K15-016702,DA12,A314961,11/5/2015,1/9/2016,65,STRAY,FIELD,ADOPTION,INTERNET,HEALTHY,HEALTHY,COUNTY,OUT OF COUNTY,94930,"94930(37.972497, -122.607804)",1
ANDY,CAT,DOMESTIC SH,WHITE/GRAY,Neutered,SMALL,1/15/2008,K16-017476,CS06,A331941,1/15/2016,1/27/2016,12,OWNER SURRENDER,OVER THE COUNTER,EUTHANIZE,BEH SEVERE,TREATABLE/MANAGEABLE,UNTREATABLE,SANTA ROSA,,,,1
LOBO,DOG,GERM SHEPHERD,BLACK/TAN,Neutered,MED,12/5/2015,K18-027615,TRUCK,A344672,3/21/2018,3/21/2018,0,STRAY,FIELD,RETURN TO OWNER,FLD_PRVS,HEALTHY,HEALTHY,COUNTY,COUNTY,95476,"95476(38.280393, -122.464588)",1
CHULA,DOG,ENG BULLDOG/PIT BULL,BR BRINDLE/WHITE,Female,LARGE,3/3/2015,K18-027437,DS65,A369199,3/2/2018,3/3/2018,1,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_WEB,UNKNOWN,PENDING,SANTA ROSA,COUNTY,94951,"94951(38.314417, -122.656863)",1
LOLA,DOG,LABRADOR RETR,BLACK,Spayed,LARGE,8/11/2014,K15-015167,DA37,A324776,7/30/2015,8/13/2015,14,STRAY,OVER THE COUNTER,ADOPTION,INTERNET,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95401,"95401(38.446019, -122.766748)",1
,CAT,DOMESTIC SH,BLACK,Neutered,SMALL,10/15/2014,K14-012240,CS06,A315348,12/30/2014,1/3/2015,4,STRAY,COMM CAT,RETURN TO OWNER,COMMCAT,HEALTHY,HEALTHY,COUNTY,COUNTY,94952,"94952(38.236012, -122.730241)",1
*LUCY,CAT,DOMESTIC SH,CALICO/BRN TABBY,Spayed,SMALL,2/15/2016,K18-027547,CA02,A367896,3/14/2018,3/20/2018,6,ADOPTION RETURN,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,WINDSOR,COUNTY,95476,"95476(38.280393, -122.464588)",1
,CAT,DOMESTIC LH,BLACK/WHITE,Male,SMALL,4/22/2010,K15-013647,COOLER,A320988,4/21/2015,4/23/2015,2,STRAY,FIELD,EUTHANIZE,ILL SEVERE,UNTREATABLE,UNTREATABLE,SANTA ROSA,,,,1
SHELBY,DOG,AUST CATTLE DOG/MIX,WHITE/BROWN,Spayed,LARGE,8/18/2012,K15-016156,MAC,A325067,9/26/2015,10/11/2015,15,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,SPEC EVENT,HEALTHY,HEALTHY,COUNTY,OUT OF COUNTY,94123,"94123(37.800677, -122.436863)",1
JOEY,OTHER,RABBIT SH,TAN/BLACK,Neutered,SMALL,1/21/2015,K16-017425,CA01,A331829,1/12/2016,2/11/2016,30,STRAY,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95436,"95436(38.491884, -122.90672)",1
TWITCH,DOG,CHINESE SHARPEI/GERM SHEPHERD,TRICOLOR,Spayed,MED,5/31/2006,K17-026152,DS68,A214171,11/2/2017,11/14/2017,12,CONFISCATE,FLD_HOSPTL,RETURN TO OWNER,OVER THE COUNTER_PRVS,UNKNOWN,HEALTHY,SANTA ROSA,SANTA ROSA,95402,"95402(38.439698, -122.715642)",1
*LOGAN,DOG,LABRADOR RETR/MIX,BLACK,Neutered,LARGE,6/23/2010,K14-010612,FOSTER,A308224,9/2/2014,10/29/2016,788,TRANSFER,VET_HOSP,ADOPTION,REFERRAL,HEALTHY,TREATABLE/MANAGEABLE,COUNTY,SANTA ROSA,95405,"95405(38.439152, -122.672541)",1
*SHEILLA,CAT,DOMESTIC LH,BRN TABBY,Spayed,SMALL,7/7/2012,K15-012343,CS05,A315548,1/7/2015,1/24/2015,17,STRAY,COMM CAT,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95401,"95401(38.446019, -122.766748)",1
*KATE,CAT,DOMESTIC SH,BLUE CREAM,Spayed,KITTN,7/22/2016,K17-022875,CA02,A349809,3/22/2017,3/31/2017,9,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95404,"95404(38.458384, -122.675588)",1
*DUNDEE,DOG,MALTESE,CREAM,Male,SMALL,3/1/2015,K18-027812,DS94,A369183,3/8/2018,4/14/2018,37,ADOPTION RETURN,OVER THE COUNTER,EUTHANIZE,AGGRESSIVE,HEALTHY,UNTREATABLE,COUNTY,,,,1
BELLA,DOG,BEAGLE/WELSH CORGI PEM,WHITE/TRICOLOR,Spayed,MED,3/15/2015,K15-013994,DA46,A321713,5/15/2015,6/12/2015,28,OWNER SURRENDER,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,WINDSOR,95492,"95492(38.541541, -122.809202)",1
,OTHER,LOP-ENGLISH,TAN,Unknown,SMALL,11/26/2014,K15-012945,CA01,A317192,2/26/2015,3/6/2015,8,STRAY,OVER THE COUNTER,TRANSFER,SAVEABUNNY,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,94941,"94941(37.896402, -122.547447)",1
MISSY,CAT,DOMESTIC LH,TORTIE,Female,SMALL,3/7/2005,K15-013064,EUTH,A317676,3/7/2015,3/7/2015,0,OWNER SURRENDER,FIELD,EUTHANIZE,ILL SEVERE,UNTREATABLE,UNTREATABLE,SANTA ROSA,,,,1
KIANI,DOG,PARSON RUSS TER/DACHSHUND WH,RED/WHITE,Neutered,PUPPY,11/7/2016,K17-022625,DA46,A348914,2/24/2017,3/8/2017,12,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95404,"95404(38.458384, -122.675588)",1
,CAT,DOMESTIC SH,RED,Unknown,KITTN,,K18-027668,RECEIVING,A370466,3/27/2018,3/27/2018,0,STRAY,COMM CAT,TRANSFER,FORGOTTEN,UNKNOWN,HEALTHY,COUNTY,SANTA ROSA,95403,"95403(38.486997, -122.749134)",1
*BERNICE,OTHER,AMERICAN,BROWN,Spayed,SMALL,7/8/2012,K14-009401,CA01,A308153,6/20/2014,9/2/2014,74,STRAY,OVER THE COUNTER,ADOPTION,INTERNET,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,94922,"94922(38.341597, -122.94284)",1
CHESTER,OTHER,PARROT,GRAY,Male,SMALL,,K16-019520,FOSTER,A339119,6/30/2016,7/29/2016,29,CONFISCATE,FLD_CORONR,ADOPTION,,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95403,"95403(38.486997, -122.749134)",1
LIL,DOG,BORDER COLLIE,BROWN/WHITE,Female,MED,11/29/2014,K15-016547,DS80,A329185,10/24/2015,10/27/2015,3,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,94952,"94952(38.236012, -122.730241)",1
COCO,DOG,CHIHUAHUA SH,FAWN,Neutered,TOY,9/13/2014,K15-012410,DA42,A315727,1/13/2015,1/21/2015,8,STRAY,OVER THE COUNTER,ADOPTION,FINDER,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95401,"95401(38.446019, -122.766748)",1
,DOG,PIT BULL,WHITE,Female,MED,3/3/2012,K15-012996,DI097,A317430,3/3/2015,3/10/2015,7,STRAY,OVER THE COUNTER,EUTHANIZE,BEH SEVERE,UNTREATABLE,UNTREATABLE,SANTA ROSA,,,,1
*TRINITY,DOG,GERM SHEPHERD,TAN/BLACK,Spayed,LARGE,1/25/2013,K14-009965,DA18,A309384,7/25/2014,8/15/2014,21,STRAY,OVER THE COUNTER,ADOPTION,INTERNET,HEALTHY,HEALTHY,WINDSOR,OUT OF COUNTY,95457,"95457(38.875468, -122.566723)",1
*CALLIOPE,CAT,DOMESTIC MH,CALICO,Spayed,KITTN,4/30/2014,K14-009267,LOBBY,A307895,6/11/2014,6/27/2014,16,STRAY,OVER THE COUNTER,ADOPTION,REFERRAL,UNKNOWN,HEALTHY,SANTA ROSA,*HEALDSBURG,95448,"95448(38.618857, -122.861927)",1
*COOPER,CAT,DOMESTIC MH,BLACK,Neutered,SMALL,7/9/2015,K16-022068,CA02,A346855,12/30/2016,1/17/2017,18,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,OUT OF COUNTY,94533,"94533(38.27114, -122.026467)",1
SCOOTER,DOG,BORDER COLLIE,BLACK/WHITE,Male,MED,4/27/2009,K18-026868,DS60,A238375,1/2/2018,1/3/2018,1,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_CALL,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95403,"95403(38.486997, -122.749134)",1
ZEUS,DOG,ROTTWEILER,BLACK/TAN,Male,X-LRG,10/17/2013,K15-016429,DS68,A328615,10/17/2015,10/17/2015,0,STRAY,FIELD,RETURN TO OWNER,OVER THE COUNTER_PRVS,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95409,"95409(38.458965, -122.630156)",1
,CAT,DOMESTIC SH,BRN TABBY,Female,KITTN,5/26/2017,K17-023881,CI02,A353909,6/10/2017,6/13/2017,3,STRAY,OVER THE COUNTER,TRANSFER,HSSC,TREATABLE/REHAB,TREATABLE/REHAB,SANTA ROSA,COUNTY,95407,"95407(38.403734, -122.736775)",1
,OTHER,BAT,BLACK,Unknown,SMALL,,K16-017788,TRUCK,A333089,2/13/2016,2/13/2016,0,QUARANTINE,FLD_STRAY,TRANSFER,LAB FRA,UNKNOWN,DEAD,WINDSOR,SANTA ROSA,95404,"95404(38.458384, -122.675588)",1
TADO,CAT,DOMESTIC SH,ORG TABBY/WHITE,Neutered,SMALL,1/23/2014,K16-017552,CS05,A332348,1/23/2016,2/20/2016,28,STRAY,FIELD,ADOPTION,WALKIN,TREATABLE/REHAB,TREATABLE/REHAB,COUNTY,SANTA ROSA,95401,"95401(38.446019, -122.766748)",1
*ERIC,CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,5/26/2016,K16-020020,CS04,A340216,7/29/2016,10/20/2016,83,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,COUNTY,SANTA ROSA,95401,"95401(38.446019, -122.766748)",1
*FRANK,DOG,POODLE MIN,WHITE,Neutered,SMALL,12/23/2011,K14-012099,DA01,A314941,12/16/2014,12/24/2014,8,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,WINDSOR,COUNTY,95412,"95412(38.705157, -123.351858)",1
